Mastra,,,TÆLLING : UGEOVERSIGT,,,,,,,,,,,,Udskr.,05.04.2022 12:06,,,,,
,,,Tidsinterval: 60min.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Målested,10133322,,"Jagtvej 163, 2100 Kbh. Ø",,,,,,,,,,,,,,,,,,
Bestyrer,101,,København,,,,,,,,,,,,,,,,,,
Vej,1013332-0,,Jagtvej,,,,,,,,,,,,,,,,,,
Lokalitet,2/280,,Jagtvej ud for nr. 163,,,,,,,,,,,,,,,,,,
RetningSpor,T,,Samlet trafik,,,,,,,,,,,,,,,,,,
Køretøjsart,MOTORKTJ,,Motorkøretøjer,,,,,,,,,,,,,,,,,,
Periode,01.01-10.01.2021,,(660-spln),,,,,,,,,,,,,,,,,,
Kommentar,,,AT33,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,* markerede dage er helligdage,,,,,,,,,,,,,,,,,,
Ugenr.,53,,,,,,,01,,,,,,,Hverdag,,,,,,
Ugedag,Man,Tir,Ons,Tor,Fre,Lør,Søn,Man,Tir,Ons,Tor,Fre,Lør,Søn,gns.,,,,,,
Vej,1013332-0,,Jagtvej,,,,,,,,,,,,,,,,,,
Lokalitet,2/280,,Jagtvej ud for nr. 163,,,,,,,,,,,,,,,,,,
RetningSpor,T,,Samlet trafik,,,,,,,,,,,,,,,,,,
Køretøjsart,MOTORKTJ,,Motorkøretøjer,,,,,,,,,,,,,,,,,,
Periode,08.02-21.02.2021,,(660-spln),,,,,,,,,,,,,,,,,,
Kommentar,,,AT33,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,* markerede dage er helligdage,,,,,,,,,,,,,,,,,,
Ugenr.,06,,,,,,,07,,,,,,,Hverdag,,,,,,
Ugedag,Man,Tir,Ons,Tor,Fre,Lør,Søn,Man,Tir,Ons,Tor,Fre,Lør,Søn,gns.,,,,,,
Tid\Dato,08/02,09/02,10/02,11/02,12/02,13/02,14/02,15/02,16/02,17/02,18/02,19/02,20/02,21/02,talt,,,,,,
00:00 - 01:00,107,81,110,105,108,281,294,98,123,130,126,164,268,296,115,,,,,,
01:00 - 02:00,44,49,62,67,75,187,208,48,66,74,77,111,212,221,67,,,,,,
02:00 - 03:00,39,38,35,56,41,180,157,35,54,45,51,64,182,189,46,,,,,,
03:00 - 04:00,44,29,39,44,41,159,113,38,51,51,50,55,145,129,44,,,,,,
04:00 - 05:00,103,46,68,36,51,99,79,47,48,53,47,55,130,88,55,,,,,,
05:00 - 06:00,201,210,192,193,193,117,56,182,208,181,190,232,92,81,198,,,,,,
06:00 - 07:00,618,589,606,545,580,145,101,552,530,525,545,570,152,115,566,,,,,,
07:00 - 08:00,1,1,1,1,1,233,163,965,947,984,920,896,218,182,1,,,,,,
08:00 - 09:00,1,1,1,1,1,376,270,1,1,1,1,1,305,283,1,,,,,,
09:00 - 10:00,1,1,1,1,1,652,536,1,1,1,1,1,594,518,1,,,,,,
10:00 - 11:00,1,1,1,1,1,990,805,1,1,1,1,1,855,790,1,,,,,,
11:00 - 12:00,1,1,1,1,1,1,1,1,975,1,1,1,1,1,1,,,,,,
12:00 - 13:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
13:00 - 14:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
14:00 - 15:00,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,,,,,,
15:00 - 16:00,1,2,2,2,2,1,1,1,1,1,1,2,1,1,1,,,,,,
16:00 - 17:00,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,,,,,,
17:00 - 18:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
18:00 - 19:00,872,939,951,994,1,898,917,827,879,912,921,1,899,949,935,,,,,,
19:00 - 20:00,614,696,721,692,678,632,633,529,645,654,699,648,616,709,658,,,,,,
20:00 - 21:00,505,584,608,597,484,512,599,466,547,570,552,517,565,641,543,,,,,,
21:00 - 22:00,457,503,549,481,473,548,560,404,476,471,521,450,478,513,479,,,,,,
22:00 - 23:00,321,381,393,449,447,432,344,346,370,413,418,443,475,362,398,,,,,,
23:00 - 24:00,164,250,218,254,399,379,178,220,251,259,266,404,359,198,269,,,,,,
